,Tweet,Message,Match,Polarity
13,14,Most efficient healthcare systems 20181 Hong Kong2 Singapore3 Spain4 Italy5 South Korea7 Japan8 Australia16 France16 Canada20 China21 Mexico28 Netherlands35 UK45 Germany51 Brazil53 Russia54 USBloomberg,['efficient'],POSITIVE
14,15,Just a reminder that Harrington Lake is not a personal summer cottage It is an official residence of the Prime Minister is used by foreign dignitaries and it belongs to Canada  Any other narrative is a lie cdnpoli ,['lie'],NEGATIVE
15,16,Parks Canada went ahead with this fence for public safety reasons It worked against the sites natural beauty so we fixed itWe wont take lessons on managing taxpayers dollars from the party that put 2M into fake lakes amp gazebos in one of their own MPs ridings ,"['worked', 'beauty']",POSITIVE
16,17,Why Mangalore is the center for Powerlifting in IndiaAs we launched crowd funding for Swathi67248560 to participate in Cwealth Powerlifting competition in Canada I thot let me dig why MLR is producing many champions even wlittle or no support from GovtSupportSwathi1 ,['support'],POSITIVE
17,18,Thousands of customers without electricity in Nova Scotia,-,NEUTRAL
18,19,Between 2000 and 2012 as Liberal and Conservative governments cut Canadas corporate tax rate in half corporate cash reserves ballooned to 700B total public debt soared to 15T CEO incomes doubled and the national employment rate increased by 0cdnpoli elxn43 ,['debt'],NEGATIVE
19,20,Pirates Sell the team move to Canada and just give us a chance at an NBA team Or let the fucking Riverhounds play in PNC Park The mediocrity is disgusting,"['fucking', 'mediocrity', 'disgusting']",NEGATIVE
20,21,Hey justinbieber I didnt see you tweeting your old PM Harper to get me out of that CAGE in Canada he put me in and oh yeah pointed a gun to my wifes head and put her in a CAGE in Surrey mens prison where she was forced to parade in front of a bunch horny convicts ,['prison'],NEGATIVE
21,22,howroute Shes no Einstein how did she get the Einstein visa to become a US citizen Enquiry minds want to know ,-,NEUTRAL
22,23,leehsienloong I hope in the future I can come back to my roots for a holiday but I fear the weather I love my Canada first then maybe Singapore too,-,NEUTRAL
23,24,That Canada needs to sit around and think about if its OK to legally force women to touch male genitalia against their will in order to keep their jobs is mind blowing,-,NEUTRAL
24,25,RALPHsGEEKTIME Waitis this gonna be on PrimeVideoCA  Damn I hope so you hear anything about Hulu coming to Canada anytime soon Seeing as TheOrville is going there I k ow Disney owns that toogonna get Disney + when it comes out too,-,NEUTRAL
25,26,You know its hot in Canada when  ,['hot'],POSITIVE
26,27,Borgar order numbers  United Kingdom  208-529-4608United States  1-208-522-1621Canada  208-524-2757Ireland  208-542-4402Philippines  859-881-1573Australia  601-296-6001Someone is denied borgar every 40 secondsWill you retweet to give someone borgar,['denied'],NEGATIVE
27,28,Want to work at Baker Hughes a GE Company Were hiring in Leduc AB Canada Click the link in our bio for details on this job and more Field Service Specialist RLS Grande Prairie AB BHGE SkilledTrade,['work'],POSITIVE
28,29,Sounding alert about vanishing US coastlinesOne mans passion for photographing the US east coast as it is hit by a triple whammy of subsidence sea level rise and bigger storm surges Lots of expensive infrastructure at risk climatechange uspolitics ,"['expensive', 'risk']",NEGATIVE
29,30,Brexit news UK trade envoy quits in protest over no-deal policy threatening 800m Canada agreement - The Independent ,"['protest', 'threatening']",NEGATIVE
30,31,BrownsCanada Im with you So happy I emigrated to Canada from Scotland Way too violent as well as expensive there Canada is the best country in the world to live in imo,"['happy', 'well', 'best']",POSITIVE
31,32,Niagara Falls is experiencing EXTREME HEAT yet MarineLand Canada is forcing its last surviving walrus to perform in the direct sunlight 4 walruses have died at MarineLand in the past 2 years Any wonder why SaveSmooshi ,-,NEUTRAL
32,33,MBPrairieGirl6 liberalparty JustinTrudeau Its embarrassing while the US is posting +3 GDP growthOur economies used to be in lock step with each other Canada benefiting from US manufacturing etc but JustinTrudeau has made sure Canada is out of the US economy with weak trade deal and his weakness in diplomacy,"['embarrassing', 'weak', 'weakness']",NEGATIVE
33,34,Suicide hotline numbers  United Kingdom  116 123United States  1-800-273-8255Canada  1 800 456 4566Ireland  116 123Philippines  2919Australia  131 114Someone dies from suicide every 40 secondsWill you take 01 second to Retweet and maybe save a life,"['dies', 'suicide']",NEGATIVE
34,35,Canada president jtimberlake please NOT apologize 1944 are detain wicked  are disloyalty terrorism threat espionage I am not trust ,"['wicked', 'disloyalty', 'terrorism', 'threat']",NEGATIVE
35,36,WeAreCanProud Canada Proud is a Racist white Supremacist HATE GROUP WITH UNCONDITIONAL SUPPORT FROM THE REFORM CONSERVATIVE HATE PARTY,-,NEUTRAL
36,37,The average cost of 1GB of mobile data 2019India 02Russia 09Malaysia 11Pakistan 18Nigeria 22Brazil 35Spain 37UK 66Germany 69China 98Canada 12US 123South Korea 151Switzerland 202Cablecouk,-,NEUTRAL
37,38,647416 ElectionsCanE  I have a health card photo ID and no use for a passport I dont travel outside of Canada and no drivers license  Epilepsy helps,-,NEUTRAL
38,39,2020tsupporters Htowntrumpgirl TaxMarilyn SickOfTheSwamp Lily1439 HunterchickUSA DudaPhillis ZeroWarningShot takeemdown2020 xmssweetnessx Lindalu827 texaslady123 texaslady10 Brn2Wander1 When u dont include Canada its almost offensive,['offensive'],NEGATIVE
39,40,RealKyleMorris LisaMei62 tedcruz BillCassidy Canada has a law that you cant wear masks in public Never mind the fact it isnt enforced Corruption,-,NEUTRAL
40,41,TygahShark VegasTrollop trustednerd Shes in Canada do the Canadians have those rights,-,NEUTRAL
41,42,HollisterCo Hollister Canada has cancelled order and is not reversing the payment Do you make your customers wait for 20 days just because your courier was lazy and marked insufficient address  Everyone from UberEats to Amazons courier deliver goods perfectly,"['lazy', 'insufficient']",NEGATIVE
42,43,My American husband recounting his six weeks in Canada to my father-in-law Everything illegal in Canada No camping in parks No straws You cant even fart in Canada without paying a carbon tax ,['illegal'],NEGATIVE
43,44,DVATW German people dont react like that in Canada they actually realy love it,"['like', 'love']",POSITIVE
44,45,Oh neat did you enjoy Canada  Yes I did It sucks because I was in bed for most of it because jet lag ruined me but I got to see some of my cousins which was nice Thanks for asking ,-,NEUTRAL
45,46,As it turns out Canada Growth Council Westwatchs mother ship is based in Regina and overseen by three Saskatchewaneans,-,NEUTRAL
46,47,liberalparty The economy is in dire condition and JustinTrudeau is spending like a drunken sailor on shore leave on a pay day Canada ,"['dire', 'drunken']",NEGATIVE
47,48,MarcusEdelstein Apparently the resistance ends at your border Im from Southwest Ontario Canada  ,['resistance'],NEGATIVE
48,49,Win a copy of DKCanada Timelines of Everything book Canada giveaway ends on Aug 20,-,NEUTRAL
49,50,Natashajanegfe HotAussieGirls GirlsDownUnder 4elpeu FansSkriver TexasThighs When I get home from holiday in Canada I would love to be sinfull with you,['love'],POSITIVE
50,51,THERE ARE FEW pairs of words that have become as toxic as quickly as The Rebel has in Canada in recent months Maybe Weinstein Company or tiki torchThinking of you AndrewScheer and CPCHQcdnpoli  ,['toxic'],NEGATIVE
51,52,DonutOperator Do they sell it in Canada Looks delicious ,['delicious'],POSITIVE
52,53,UK trade envoy quits in protest over no-deal Brexit threatening 800m Canada agreement ,"['protest', 'threatening']",NEGATIVE
53,54,KensingtonRoyal Wow 6 already Happy birthday Prince George from Canada,-,NEUTRAL
54,55,marklutchman They BOTH PROMISED to move to Canada WHEN Trump won What the hll ever happened to that PROMISE I was celebrating the fact their loud big mouths were moving almost as much as I was that Trump beat Hil-liar Almost Lol,-,NEUTRAL
55,56,annetheriault Im an american going on my first trip to canada this month and Im really excited I want to see nova scotia it looks so beautiful Might only have time for quebec though,"['excited', 'beautiful']",POSITIVE
56,57,AdamSinger Now as someone from Canada the concerning part of this is that China and Europe are only 1250 miles apart,-,NEUTRAL
57,58,Smartest shit Ive heard out of Canada in a while Trudeau gots to go That moron has dismantled Canada ,"['shit', 'moron']",NEGATIVE
58,59,Flash Giveaway Disneys Dumbo amp Cinderella Anniversary edition just came out on Blu-ray WIN a copy TODAY 2 winners ENTER 1 RT 2 follow SnyMed amp 3 say if you want to win Dumbo or Cinderella Contest open to Canada Winners selected 719canwin contest giveaway ,"['winners', 'win']",POSITIVE
59,60,theres nothing that breaks your heart like knowing that david oakes is playing hamlet until the end of august but you cant see it because you live in canada ,-,NEUTRAL
60,61,WEATHER A severe thunderstorm watch is now in effect for Toronto and much of the GTA Environment Canada says,['severe'],NEGATIVE
61,62,GuidoFawkes This was why in the 1990s many Hong Kongers invested in Canada Britain refused all these entrepreneurs so they accepted Canadas offer put money in the country got their passports and returned to HK to continue their businesses,['refused'],NEGATIVE
62,63,Average cost of 1GB of mobile data in USIndia 026Russia 091Malaysia 118Pakistan 185Nigeria 222Brazil 350Spain 379UK 666Germany 696China 989Canada 1202US 1237S Korea 1512Switzerland 2022Cablecouk 2019,-,NEUTRAL
63,64,tapicco Franktmcveety The sentiment growing across Canada is anything published or promoted by andrewscheer fordnation Cons or their supporters is likely to be a lie and these kind of partisan lies support that Even Cons base will start to see that Perfect cdnpoli elxn43 onpoli topoli,"['lie', 'partisan', 'lies']",NEGATIVE
64,65,Check out 1906 Canada 5 Cents NGC MS65 Exceptionally Rare Registry Set Must  Rare this nice Open to best offers canadiancoins coins,"['nice', 'best']",POSITIVE
65,66,This ad was made for you lol  Enjoy Deligracy dogsofMB Meet Tofu the Chow  Mercedes-Benz Canada  via YouTube,-,NEUTRAL
66,67,Beef over Weather Network video needlessly pits agriculture against environment researcher  ,['needlessly'],NEGATIVE
67,68,PMIKJalsaInUSA also trending in Canada at no5Huge respect for ImranKhanPTI for bringing Pakistan good name in the world ,"['respect', 'good']",POSITIVE
68,69,For PortCoquitlam Mayor Brad West saying no to sponsorship by a regime that has arrested Canadas citizens caused losses to Canadian business and continues to suppress HumanRights rights at home is a question of principle ,"['losses', 'suppress']",NEGATIVE
69,70,I think now is as good a time as any Suicide hotline numbers  United Kingdom  116 123United States  1-800-273-8255Canada  1 800 456 4566Ireland  116 123Philippines  2919Australia  131 114France  01 45 39 40 00,['good'],POSITIVE
70,71,profbohns Is that an A to the power of 7 on the reading Well done My Cs were in spelling and art On behaviour Canada I was told that I was too bossy Of that I am especially proud,['proud'],POSITIVE
71,72,4 Volksverhetzung isnt just some abstract law Germany threw on the books to prosecute Nazis They use it actively today to address the kinds of lies and hatred that Holocaust deniers spread,"['prosecute', 'lies', 'hatred']",NEGATIVE
72,73,Sea wolves are a unique breed of wolf found in the Great Bear Rainforest along the Pacific Coast of Canada Theyre excellent swimmers and up to 90 percent of their diet is seafoodPhotos Ian McAllister ,['excellent'],POSITIVE
73,74,XiaBamboohermit I agree with u  It happens in Canada,-,NEUTRAL
74,75,I will surprise first 50 babies that follow and retweets my post Dm and get 1200  Male or female sugar baby in the USA  or Canada text me  sugardaddy Sugarbabywanted sugardaddywanted  sugarbabyneeded sugardaddyneeded sugarmummy babysitting sugarbaby ,-,NEUTRAL
75,76,Brilliant Well done Tories One of LiamFoxs trade envoys has quit in protest that the governments no-deal Brexit policy threatens the demise of an existing trade deal with Canada worth 800m ,"['protest', 'demise']",NEGATIVE
76,77,Ad eBay Driver Rear Door Vent Glass Sedan Canada Market Fits 01-05 BMW 320i 90057  ,-,NEUTRAL
77,78,Beef over Weather Network video needlessly pits agriculture against environment researcher ,['needlessly'],NEGATIVE
78,79,Why polls still matter - even when they cant agree  hw cdnpoli ,-,NEUTRAL
79,80,If the Alberta government decides to hold a public inquiry into the question of who is funding environmental activism in Canada perhaps this will be part of the Inquirys ,-,NEUTRAL
80,81,Germanys Merkel amp Canadas Trudeau back the US socialist-squad Reps against TrumpDoes this surprise anyoneThey are all the same ie DeepState toolsThe DS is worldwide and it hates Trump as an existential threat Because he isWWG1WGA,"['hates', 'threat']",NEGATIVE
81,82,Rekkirts KaivanShroff joncoopertweets JoeBiden McDonalds has annual profit of gt 5 billion Its CEO has an annual salary of 21 million They pay much higher wages to foreign workers for example in Canada where the min wage ranges from 11-15hr,-,NEUTRAL
82,83,Its still Stephen Harpers partyWhile JustinTrudeau continues to recruit new star candidates across the country who are ready to bring their life experience to make Canada betterScheer is running many of the Harper crew all over againcdnpoli,['ready'],POSITIVE
83,84,StephanieLahey AlvionneGH It is pretty But arent you in Canada Id have thought desert plants would not do so well,"['pretty', 'well']",POSITIVE
84,85,Can we deport Seth rogan back to Canada Im tired hof his voice whether I turn,['tired'],NEGATIVE
85,86,jamesRoberts  Why isnt the CBC National talking about Canadas ability to maintain its sovereignty without a strong energy industry and related strong economy  The economy of Texas is now larger than Canadas and with 8 million fewer people,['strong'],POSITIVE
86,87,WolfredNelson trapdinawrpool We let this happen We have not made it a national issue  This is Canadas fault not any political party,"['issue', 'fault']",NEGATIVE
87,88,Country ranking for future skills education1 Finland2 Switzerland3 New Zealand4 Sweden5 Canada6 Netherlands7 Germany8 Singapore9 France10 UKEconomist Intelligence Unit,-,NEUTRAL
88,89,A Vancouver man walked into a 7-Eleven store and made a fur-raising discovery a rat scurrying inside a fridge Read more  ,-,NEUTRAL
89,90,Actanonverba HockeyYogi MichelleRempel Actually its those that want to suceed Even elon musk said he had to leave canada to be able to do great things He admitted it was america that made him successful  Canada is a third tier country Canadians settle for mediocrity,"['great', 'successful']",POSITIVE
90,91,UPDATE Peace Bridge to Canada Fort Erie still causing an extra 22m delay BUFtraffic ,['delay'],NEGATIVE
91,92,QueenElizabeth cant be in all 16 QueensRealms at once so its great to have accomplished representatives in each Realm Canadas Governor General Julie Payette is among other things an astronaut CanzukinSpace Canzuk ,"['great', 'accomplished']",POSITIVE
92,93,Gerald Butts is a cancer to CanadaHis entire life revolves around dividing and slandering Canadians Hes a terrible human being,"['cancer', 'terrible']",NEGATIVE
93,94,Hey CanadaGreat interview with MaximeBerniercdnpoli ,-,NEUTRAL
94,95,Cyber-Thief Invention Part 1 is out in stores all across Canada Buy one before they sell out,-,NEUTRAL
95,96,Police say they have busted an alleged drug smuggling operation where 180 kilos of meth was being hidden in new Ford cars built in Mexico that were then transported by rail to Canada POTUS TraffickStop2 Trafficking,['rail'],NEGATIVE
96,97,Heres what you need to know about thejjammer  HUGE Fortnite guy  Wont admit it but basically from Canada  Brother WhoGotJones94 played at ND too  Nickname JammerGoIrish  ,-,NEUTRAL
97,98,TheNotoriousMMA What about Canada ,-,NEUTRAL
98,99,escapedferret crowdedmar bonsaibean LorianaPatterso We met over the summer he lives in Canada,-,NEUTRAL
99,100,top 3 worst experiences getting gas in canada,-,NEUTRAL
100,101,carrollev1 Ok so you obviously are a shill for the Dairy Farmers of Canada,-,NEUTRAL
101,102,liberalparty Running deficits and expanding public service employment during boom times is not growing the economy Its the work of a foolYouve set Canada and future generations up to take a fall Unforgivable TrudeauMustGo,"['boom', 'work']",POSITIVE
102,103,BBC News - What is the Einstein visa And how did Melania Trump get one ,-,NEUTRAL
103,104,GeraldKutney MichelleRempel I believe in the US the courts determined that politicians who use Twitter to conduct business cannot block people We need someone to make this an issue here in Canada By blocking dissenting opinions Rempel and her ilk are creating an illusion of consensus,"['issue', 'illusion']",NEGATIVE
104,105,darthvanderlaan I see her shit a lot on the TL Seems peachy Main issue was the twitter option to hide replies shes the first person Ive seen use it As a politician thats scary Then I noticed her comparing Canada to The US unfavourably Which is crazy in every aspect,"['shit', 'issue', 'scary', 'crazy']",NEGATIVE
105,106,Great meeting in Parkdale to inform the community about what happened in the phpndp federal nomination election 400 new Canadians preserved their voting power 20 of them were included on the final voting list on Election Day Its time for Elections Canada to run elections ,-,NEUTRAL
106,107,Canada Yall trippin man 585 stand up ,-,NEUTRAL
107,108,This would never happen if these were kids from Canada or TheNetherlands instead of brown children TeamDl ,-,NEUTRAL
108,109,Hard Rock Cafe fun  Niagara Falls Ontario Canada ,['fun'],POSITIVE
109,110,Kaia shared new photo Shes oalying harrys guitar Harry still in canada with kaia Kaia shared new photo She  hello hunny were moving the crazies n dumbs to tays ccat so next time u go directly there  ,-,NEUTRAL
110,111,munch289 Michell82410861 ITSLIISA philrack PpcYukon OtagoGrad mayoushtak JohnAll63815927 marckovvvvv NewImproved9 DestinyParadigm AllThySons01 HedinBill TheBenKline1 DaneMckerness ThedeplorableM AGRichard1 Charlie55017434 calybo62 palevell thereds8 leighgt jmclennan8 traceitback MarkMe60 magiver1001 anna938 CapersQ RachieBabe079 trishshirlaw PaulSR36855907 RickRed10 grannycindy57 jeffg463 Cherylscotian1 Orkidnut RickClarke2017 Lyndamathews25 sideshowbo JanieStK GayleneSass HaveWeAllGoneM1 SaskLass SusanIverach pat69817036 boysha canadarj nixinixon wendyfanning LDawg05 Hes trying to pick up the voters who switched from Harper to Liberals in 2015,-,NEUTRAL
111,112,Heat warnings remain but relief is in sight ,['relief'],POSITIVE
112,113,BC parks open up new campsites to mark Canadas Parks Day ,-,NEUTRAL
113,114,AllThySons01 HedinBill TheBenKline1 MaelColum DaneMckerness ThedeplorableM AGRichard1 munch289 Charlie55017434 calybo62 palevell thereds8 leighgt philrack jmclennan8 traceitback MarkMe60 Michell82410861 magiver1001 NewImproved9 anna938 CapersQ RachieBabe079 trishshirlaw PaulSR36855907 RickRed10 grannycindy57 jeffg463 Cherylscotian1 Orkidnut RickClarke2017 JohnAll63815927 DestinyParadigm Lyndamathews25 sideshowbo JanieStK GayleneSass HaveWeAllGoneM1 SaskLass SusanIverach pat69817036 boysha canadarj nixinixon wendyfanning LDawg05 Danbalkwill1 JIsaacsonV2 imwiththeband9 mannyottawa In the 2015 election LIBs won 25 seats where their margin of victory was less than 5 It will be closer in 2019With just 5 of the vote the PPC could affect outcomes in marginal seatsA vote for Max may win 25-35 seats for TrudeaucdnpoliTrudeauMustGo,"['won', 'victory', 'win']",POSITIVE
114,115,Improving with Age The Protection of Wine Indications in Canada by Chris Wilson NLawGlobal from the INTA Bulletin  brandprotection canadalaw ,-,NEUTRAL
115,116,LaraLeaTrump   I believe only what I hear and see  Lets roll the tape,-,NEUTRAL
116,117,sheilawalker73 TomTSEC Tru deat manCanada selected d mushroom so deal with itcheers,-,NEUTRAL
117,118,Are you honest and looking for a sugar daddy to spoil you DM me or text me +1817 458 0625 serious baby only sugarbabywanted  littlespacelittlespacebdsmdaddydomlittlegirllegallittle ddlg ddlgcommunity ddlglife usa collegegirl Canada  canadiangirl UK Australia,-,NEUTRAL
118,119,655 PM Environment Canada has ended the Severe thunderstorm watch for most of the Mainland however it does remain in effect for Pictou Antigonish and Guysborough counties at this time,-,NEUTRAL
119,120,Wake up to the sound of the ocean at these 17 places in Nova Scotia VisitNovaScotia ExploreCanada ,-,NEUTRAL
120,121,Yoho National Park and Rocky Mountains in British Columbia Canadanature photo travel mountains photos fun travelling ,['fun'],POSITIVE
121,122,Antonio is like annoyingly good looking So is Shawn Mendesand you know what they have in common CANADA,"['like', 'good']",POSITIVE
122,123,ITSLIISA AllThySons01 HedinBill TheBenKline1 MaelColum DaneMckerness ThedeplorableM AGRichard1 munch289 Charlie55017434 calybo62 palevell thereds8 leighgt philrack jmclennan8 traceitback MarkMe60 Michell82410861 magiver1001 NewImproved9 anna938 CapersQ RachieBabe079 trishshirlaw PaulSR36855907 RickRed10 grannycindy57 jeffg463 Cherylscotian1 Orkidnut RickClarke2017 JohnAll63815927 DestinyParadigm Lyndamathews25 sideshowbo JanieStK GayleneSass HaveWeAllGoneM1 SaskLass SusanIverach pat69817036 boysha canadarj nixinixon wendyfanning LDawg05 Danbalkwill1 JIsaacsonV2 imwiththeband9 Sadly I agree that Scheer has gone too far leftHowever Im a pragmatist amp believe that the CPC is the only conservative party that has a realistic chance of forming the next govtIMHO its either Trudeau or Scheer amp TrudeauMustGoAnyone else is likely quixotic,-,NEUTRAL
123,124,New rolling tray from spencers Doctor prescribed haha thejoker mrj clowningdirty highclown whysoserious cannabiscommunity canada canadian nerd  ,-,NEUTRAL
124,125,Cat ear filter strikes again Canadian police red-faced over cutiefied brief on homicide  RT World News  Trumpstein EpsteinClintons TylerUSNavy USSButterscotch Piracy Tyler BCRCMP SilverCat CatMemes StrangerThings3,-,NEUTRAL
125,126,Silver is the new blond atfortyfivedisruptlife womenover40 womenover50 womenover60 ,-,NEUTRAL
126,127,KittitianBae Franktheshank88 Unfortunately there is something called an Einstein Visa and oddly enough this brilliant piece of work got one Omar on the other hand fled war torn Somalia with her parents when she was a child She became a citizen when she was 17 ,"['enough', 'brilliant', 'work']",POSITIVE
127,128,In legalizing marijuana Canada did everything differently Heres what we can learn  via BostonGlobe,-,NEUTRAL
128,129,Im blessing 10 random people who really need financial help with 300 today you must be ready to show prove of financial issues RT and DMPS Im picking randomlyUSA amp Canada CreditCard SugarBabieswanted sugarbabyneeeded  ,"['blessing', 'ready']",POSITIVE
129,130,The womens 4x100m freestyle relay team has qualified Canadas spot for the Tokyo 2020 Olympic Games FINAGwangju2019RoadToTokyoTokyo2020WeAreTeamCanada ,['qualified'],POSITIVE
130,131,In love with Canada  ,['love'],POSITIVE
131,132,Amazing atmosphere here in DC as Prime Minister of Pakistan Imran Khan to address Pakistani Community in America today at 4pm at CapitalOneArena inshaALLAH Not only frm America our Junooni Pakistanis frm Canada r also reaching to listen to their Kaptaan See you all PMIKInUSA,-,NEUTRAL
132,133,Ocasio-Cortez Trump is putting millions of Americans in danger US  ,['danger'],NEGATIVE
133,134,Vancouver is where nature and entertainment overlap Here are our Top 10 picks in the city VeryVanvouver ExploreCanada ,-,NEUTRAL
134,135,OtagoGrad ITSLIISA AllThySons01 HedinBill TheBenKline1 MaelColum DaneMckerness ThedeplorableM AGRichard1 munch289 Charlie55017434 calybo62 palevell thereds8 leighgt philrack jmclennan8 traceitback MarkMe60 Michell82410861 magiver1001 NewImproved9 anna938 CapersQ RachieBabe079 trishshirlaw PaulSR36855907 RickRed10 grannycindy57 jeffg463 Cherylscotian1 Orkidnut RickClarke2017 JohnAll63815927 DestinyParadigm Lyndamathews25 sideshowbo JanieStK GayleneSass HaveWeAllGoneM1 SaskLass SusanIverach pat69817036 boysha canadarj nixinixon wendyfanning LDawg05 Danbalkwill1 JIsaacsonV2 Im liking Scheer and Im liking the team he has beside him,['liking'],POSITIVE
135,136,Do you live in one of Canadas most violent cities  The violence is from uncivilized natives from the reserves,"['violent', 'uncivilized']",NEGATIVE
136,137,There really is nothing new here except they confirmed it Why did they wait so long said Shari Tarantino of the nonprofit Orca Conservancy It shouldnt have taken two and a half years to get a necropsy report Its a lack of transparency ,['lack'],NEGATIVE
137,138,I understand that Canada the US and China have had some differences over prisoners and what notbut to suggest that we shouldnt allow somebody to put on a reception for local government at UBCM to me is a little bit ridiculous bcpoli ,['ridiculous'],NEGATIVE
138,139,JohnWiseman17 ltmytweet realChaimRubin Lisatrainer10 malkaavram AnastasiaKLynch mizrahib coaxialcreature Pakeha56 BoomTown85 meninism666 yamiyed GaiaRiot dlsmith0817 AaronArad1 DohanyJulian nawagadj blurbwriter LeviGenes TelAvivYonatan HerutBeitar JackamoRoad Catheri74731631 Rosiegdn DHasbara AngelOfMtTzion markmgr WTEpaminondas 2013Boodicca AmandaWells247 Samwil226hotma1 bellewriter speedymc67 jdwstangs3 WelfareEnd HarvelaHarvey DDsearching 1JiminyCricket JewishIdentity TheantiantiZio1 Saffiya18458962 BeerBaron14 SaifGideon vestergaardpal1 BarHeiHei ChrisBa58146901 Cheech1645 NorthBelle4 michaeljaffe LisaTrainer15 But we kept Canada which was what we really wanted Actually scratch that looking at Trudeau you definitely won that 1 ,-,NEUTRAL
139,140,Rich Wilde and the Tome of Madness  draws you in with pleasing visuals and engaging gameplay but weak payouts can lessen your funslot review - rich wilde tome madness casino ThePlayngo NEW slots ,"['pleasing', 'engaging', 'rich']",POSITIVE
140,141,Another example of the ScheerWeakness of the Conservative Party of Canada - Parti conservateur du Canada CPCHQcdnpoli Farmers ,-,NEUTRAL
141,142,universenme liberalparty Im going with Andrew  dont like the Trudeau government The voters will decide and then Canada will have to live with it,['like'],POSITIVE
142,143,Im moving to Canada Im officially done with the United States Bai ,-,NEUTRAL
143,144,Meet Mikako She is the Yamatonadeshiko of FAKY  FAKYjp will be performing for the first time in Canada at Otakuthon 2019- Friday August 16 2019- Tickets are 20 with Convention admission- Doors open at 530PM- Tickets jnp otakuthon fakyjp ,-,NEUTRAL
144,145,look conversations about racism are hard but dont use this Canada is multicultural soundtrack to drown the experiences of POC outmy op-ed on yes me and others being told to go back to where we came from ,"['racism', 'hard']",NEGATIVE
145,146,Want to be a tax slave for globalism  Then keep voting for the worst sellout failure gov in history of Canada  TrudeauMustGo ,"['slave', 'worst', 'failure']",NEGATIVE
146,147,OtagoGrad ITSLIISA AllThySons01 HedinBill TheBenKline1 MaelColum DaneMckerness ThedeplorableM AGRichard1 munch289 Charlie55017434 calybo62 palevell thereds8 leighgt philrack jmclennan8 traceitback MarkMe60 magiver1001 NewImproved9 anna938 CapersQ RachieBabe079 trishshirlaw PaulSR36855907 RickRed10 grannycindy57 jeffg463 Cherylscotian1 Orkidnut RickClarke2017 JohnAll63815927 DestinyParadigm Lyndamathews25 sideshowbo JanieStK GayleneSass HaveWeAllGoneM1 SaskLass SusanIverach pat69817036 boysha canadarj nixinixon wendyfanning LDawg05 Danbalkwill1 JIsaacsonV2 imwiththeband9 Totally agree with you Brad We have to win with a majority Then make moves to the right Strategy eludes these PPCers,"['win', 'right']",POSITIVE
147,148,Scandinavia and Canada  gtgtgtgtgtgtgtgtgt ,-,NEUTRAL
148,149,Virgin Trains disclosed its interest in the rails from Portland through Seattle and into Vancouver Canada this spring ,-,NEUTRAL
149,150,CPCHQ Im not sure what base your base advertising is targeting but the Scheer juvenile content shows the CPC isnt what Canada needs,-,NEUTRAL
150,151,RickySnarko East coast Canada,-,NEUTRAL
151,152,Over Prisoners and what not is Walt Cobbs definitive analysis of the current tension between China and Canada And yet its BradWestPoCo comments that some are concerned will demean the UBCM pro tip the UBCM needs no help demeaning itself bcpoli  ,"['tension', 'concerned', 'demean', 'demeaning']",NEGATIVE
152,153,Bernie Sanders is riding in a caravan to Canada with diabetics to get more affordable insulinBut how much does his winter coat cost ,['affordable'],POSITIVE
153,154,Two UBC students started a popular camp for refugee children in their spare time three years ago But now they are looking for someone to take over as their graduation looms ,['popular'],POSITIVE
154,155,Oh good Were deboarding and possibly flying over Canada See you next year California,['good'],POSITIVE
155,156,Southern most of Canada ,-,NEUTRAL
